"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C5, C6, C7","7","2u2","stdpads:C_0603","c23630",""
"H1, H2, H3","3","~","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","DBG","stdpads:PinHeader_2x06_P2.00mm_Vertical","",""
"R1, R2, R3, R4","4","47","stdpads:R_0603","C23182",""
"R5, R6","2","3k3","stdpads:R_0603","C22978",""
"SW1","1","CFG","stdpads:SW_DIP_SPSTx05_Slide_DSHP05TS_P1.27mm","C2884836",""
"U1","1","30M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C5179973",""
"U2","1","32M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C5179975",""
"U3","1","36M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C5179977",""
"U4, U5","2","74LVC1G08GW","stdpads:SOT-353","C12512",""
"U6","1","74LVC1G86GW","stdpads:SOT-353","C52350",""
"U7","1","74LVC1G02GW","stdpads:SOT-353","C546692",""
"U8","1","XC6206PxxxMR","stdpads:SOT-23","C5446",""
